MRI Path | Mode | Threshold,mode,threshold,Jaccard Index,Dice,Precision,Recall,Mean of Mean,Std of Mean,Mean of Std,Std of Std,Mean of Pval,Std of Pval
"88.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.010788249795242722,0.021346211326621626,0.11286231130361557,0.011787853203713894,0.4851874113082886,0.010371864773333073,0.07121364772319794,0.023812519386410713,-0.8839871287345886,0.41706332564353943
"89.nii.gz | mode: stat, threshold: 0.1",stat,0.1,5.800968761749566e-12,5.800968761749566e-12,1.0,5.800968646413329e-12,0.48516345024108887,0.0023451705928891897,0.06534261256456375,0.01627964712679386,-0.930473268032074,0.16596142947673798
"62.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.007347503318080352,0.014587822560105993,0.24488452076911926,0.007517830468714237,0.4853501617908478,0.01099732518196106,0.08175811916589737,0.030548501759767532,-0.8151896595954895,0.43258586525917053
"80.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.008655893661081996,0.017163224275687346,0.16886970400810242,0.00904106069356203,0.4850037693977356,0.009549806825816631,0.07129862159490585,0.028656672686338425,-0.9027548432350159,0.3177131712436676
"79.nii.gz | mode: stat, threshold: 0.1",stat,0.1,1.4489288793238588e-12,1.4489288793238588e-12,1.0,1.4489288675118006e-12,0.4850500226020813,0.00283420505002141,0.06615953147411346,0.013975733891129494,-0.9410340785980225,0.22166681289672852
"69.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0009879126104022791,0.001973875193010463,0.0029885380063205957,0.0014735710574313998,0.4852316975593567,0.01115686446428299,0.07654879242181778,0.02586248330771923,-0.8218037486076355,0.4599403738975525
"74.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0019082272164794162,0.0038091856332060177,0.019219806417822838,0.0021140892058610916,0.48506754636764526,0.008450675755739212,0.0721653401851654,0.024907436221837997,-0.8763760924339294,0.2527528405189514
"81.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0006920678246454311,0.001383178394031179,0.04220026731491089,0.0007031119894236326,0.48518550395965576,0.009553494863212109,0.06720666587352753,0.023436348885297775,-0.9129009246826172,0.3049120008945465
"92.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0004224017169073436,0.000844446735490334,0.0224350206553936,0.00043032196117565036,0.48512810468673706,0.008886287920176983,0.07152347266674042,0.024127809330821037,-0.8560049533843994,0.32383087277412415
"99.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0025201991640142864,0.005027727446724976,0.018459228798747063,0.0029101865366101265,0.485265851020813,0.010319527238607407,0.0783034935593605,0.028006337583065033,-0.7888954877853394,0.40029311180114746
"93.nii.gz | mode: stat, threshold: 0.1",stat,0.1,3.502749658469639e-12,3.502749658469639e-12,1.0,3.502749739564548e-12,0.48538291454315186,0.004891548305749893,0.080888532102108,0.03014432266354561,-0.7699456214904785,0.24343270063400269
"64.nii.gz | mode: stat, threshold: 0.1",stat,0.1,4.209586913218483e-12,4.209586913218483e-12,1.0,4.209587105979962e-12,0.4852003753185272,0.007990401238203049,0.07109366357326508,0.01935737580060959,-0.8430269360542297,0.3037630617618561
"94.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0024673934973054585,0.004922640900919208,0.07321001589298248,0.0025469488464295864,0.48518943786621094,0.011401438154280186,0.0722142904996872,0.02264399640262127,-0.870536208152771,0.43777793645858765
"63.nii.gz | mode: stat, threshold: 0.1",stat,0.1,3.1209719955085435e-12,3.1209719955085435e-12,1.0,3.1209720138120067e-12,0.48540592193603516,0.0036174969282001257,0.07585238665342331,0.02943211980164051,-0.819694459438324,0.19067902863025665
"65.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0010339180402871532,0.002065700311817991,0.022609595209360123,0.0010822913609445095,0.4854702651500702,0.0102944141253829,0.08080781996250153,0.029084863141179085,-0.7523342967033386,0.31649142503738403
"96.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.003810427702872102,0.00759192691245604,0.04176967591047287,0.004175418987870216,0.48497164249420166,0.011242053471505642,0.06489928811788559,0.017301160842180252,-0.9598284959793091,0.4545837938785553
"72.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0012364760470417442,0.002469898120458475,0.033957965672016144,0.0012815553927794099,0.4853959381580353,0.009353394620120525,0.07705656439065933,0.028612170368433,-0.8111917972564697,0.3664960563182831
"73.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.005152861296588088,0.01025289086454917,0.08419909328222275,0.0054588038474321365,0.48524028062820435,0.009228005073964596,0.07794876396656036,0.02343202754855156,-0.8252159953117371,0.3184681832790375
"84.nii.gz | mode: stat, threshold: 0.1",stat,0.1,2.949808999858557e-12,2.949808999858557e-12,1.0,2.94980901684172e-12,0.48534297943115234,0.004932487849146128,0.07731527090072632,0.024522636085748672,-0.8177768588066101,0.285240113735199
"78.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0009835202299249902,0.001965107734706655,0.06738293915987015,0.0009970931569114327,0.48526087403297424,0.010034270584583282,0.07858871668577194,0.03108115680515766,-0.7953630685806274,0.3157620429992676
"82.nii.gz | mode: stat, threshold: 0.1",stat,0.1,3.7890126211866846e-12,3.7890126211866846e-12,1.0,3.789012506527634e-12,0.4856044352054596,0.008279699832201004,0.08602429181337357,0.029206840321421623,-0.6921383738517761,0.29928743839263916
"9.nii.gz | mode: stat, threshold: 0.1",stat,0.1,3.771194110889055e-12,3.771194110889055e-12,1.0,3.771194294344138e-12,0.48533686995506287,0.008608735166490078,0.07260505110025406,0.021511981263756752,-0.812947690486908,0.3048563003540039
"58.nii.gz | mode: stat, threshold: 0.1",stat,0.1,9.183832780688385e-12,9.183832780688385e-12,1.0,9.183832513914858e-12,0.48541486263275146,0.007614998612552881,0.07587277144193649,0.0265510156750679,-0.8058934211730957,0.2933533489704132
